,data
0,importante empresa solicitar asesor comercial experiencia belleza experiencia venta sector retail horario domingo domingo turno rotativo dia compensatorio semana salario minimo legal vigente auxilio transporte prestación ley disponibilidad viajar disponibilidad cambio residencia
1,position ejecutivo venta canal moderno business unit writing location medellin reports sales manager ejecutivo venta estaras cargo canal moderno superficie supermercados independiente region medellin antioquia relacion comercial principal cliente identificar oportunidad desarrollar ejecucion plan comercial garantizar crecimiento terminos sell sell out distribucion rentabilidad responsibilities definicion ejecucion seguimiento plan comercial regional desarrollar cliente canal moderno lograr objetivo asignado identificacion oportunidad zonas cliente canal moderno permitir crecimiento acelerado canal desarrollo ejecucion plan comercial cliente garantizar crecimiento terminos sell distribucion rentabilidad realizacion periodica cliente revision plan negocios identificacion oportunidad realizacion evaluacion plan accion lograr objetivo propuesto sell out distribucion elaborar ejecutar conjunto trade marketing plan zonas clientes garantizar crecimiento participacion mercado crecer sell out mantener inventario sano clientes garantizar correcto distribucion rentabilidad marcas seguimiento diario semanal sell out clientes cumplimiento objetivos ingreso pedido venta ealizar planeacion mensual semanal diario ingreso pedido negociación clientes canal ejecucion punto venta oordinar seguimiento fuerza venta externo garantizar foto exito punto venta rentabilidad desarrollar plan accion permitir mejorar mix venta skus margen uscar eficiencia gasto costos operacional clientes asignado ejorar negociación terminos descuentos rebates clientes disminuir gross net rebatir controlar correcto ejecucion presupuesto inversion cargo correcto implementacion actividad comerciales trade marketing garantizar recaudo cartera clientes plazos establecido politica companhia requirements formacion universitaria deseable especializacion anhos experiencia area comercial companhias consumo masivo canal moderno medell deseable experiencia trade marketing marketing deseable ingles intermedio newell brands nasdaq nwl leading global consumer goods company with strong portfolio well known brands including paper mate sharpie dymo expo parker elmers coleman marmot oster sunbeam foodsaver coffee graco baby jogger nuk calphalon rubbermair contigo first alert and yankee candle for hundreds millions consumers newell brands makes life better every day where they live learn work and play
2,buscar profesional ingenieria sistema ingenieria electronica ingenieria softwar carrera afín experiencia desarrollo aplicación moviles nativo androir lenguaje kotlin funcion sera desarrollo avance optimizacion mantenimiento aplicacion napoleon chat plataformas androir integracion servicios back end conocimientos androir studio mvvm git jetpack interesado enviar hoja vida correo rrhh napoleonsystems com
3,encontrar busqueda analista estrategia planeacion rutas funcion principal evaluar planificar rentabilidad rutas medio analisis competencia proyeccion ingreso evaluacion costo generar business cases solido permitir tomar decisión tacticas estrategicas alineado vision mision companhia requisito profesional ingenieria industrial comercial informatica civil electrica profesional economia finanzas administracion empresa ingles indispensable excel intermedio avanzado experiencia anho minimo experiencia laboral ganas aprender crecer companhia invitar cultura vivo respetar individualidad eres persona unica compartenos perfil danos oportunidad conocerte
4,evertec companhia publicar sede san juan puerto rico cotizar bolsa valor york enorgullecer companhia lider mas anhos experiencia industria tecnologia transacción electronicas operamos segmento principal adquisicion comerciante procesamiento pago solución negocio ademas duenho operador red debito mas grande caribe ath contar presencia paises latinoamerica oficina paises traves region evertec contar plantilla mas colaborador formar generacion naranja objetivo asegurarse producto final funcionar intentar evitar cantidad fallo software salgar produccion cumplir expectativas cliente usuario dirigido apoyar conocimiento proceso desarrolladores incidente puedan previsto corregido función diseñar implementar documentar estrategia control calidad proyecto definir caso prueba base requisito funcional funcional tecnicos documentar caso alternos flujos testear test integracion definir prueba integracion realizar eti generar dato lotes prueba ejecutar caso prueba documentacion prueba evidencia registrar incidente base defecto encontrado asi tambien seguimiento asegurar adecuado correccion analizar reportar resultado pruebas estadisticas etc participar etapa concepcion sistema elaboracion estrategia pruebas mantener base incidente proyecto generar conocimiento incremental usado desarrolladores educacion experiencia ingeniero sistema afín mas anhos experiencia metodologias modelo calidad conocimiento scrum cmmi istqb rango salarial evertec group llc patrono igualdad oportunidades
5,start trazado objetivo revolucionar educacion america latino equipo mas persona colombia mexico peru trabajar objetivo suenho profesional empezar operaciones fecha levantado mas millón dolares capital riesgo rondas inversion acompanhan inversionistas global regional acumen capital mountain nacer salesforce ventures rethink education buscar escalar oferta curso desarrollar producto consolidar marca mexico colombia expandirnos geografias asi crehana crecer pasos agigantado objetivo lideres industria dias posicionarnos plataforma lider educacion region entras tallar buscar senior account executive bogota equipo ayudar cumplir objetivo propuesto mision senior account executive sera responsable buscar desarrollar cartera clientes potencial colombia asi nivel latam excepto peru mexico sumaras reto crear experiencia aprendizaje medida fomentar aprendizaje continuo organización puedan enfrentarse reto industria cambiante miles trabajo reformulan tecnologia buscar reto profesional poner prueba conocimientos capacidad dias este posicion senior account executive rol seran superar cuota mensual trimestral anual venta asignado participar ciclo venta generacion prospeccion cliente potencial gestion pipeline cierre incorporacion cliente cultivar mantener relación comerciales mediano mano sales development executives customer success executives garantizar colocacion seguimiento exitoso cliente alinear recursos productos operaciones marketing sostener negocio utilizar tacticas venta innovador creativo presentar solución comerciales crehana empresa clientes potencial recordar rol fluido frecuencia evolucionar funcion prioridad estrategia corporativo demanda mercado preferencia graduado universidad anhos minimo posees excelente habilidad comunicacion escrito verbal presentacion ingles imprescindible anhos experiencia venta minimo cuenta experiencia venta solución comerciales imprescindible experiencia generacion estrategia adquisicion venta imprescindible posees experiencia desarrollo negocio plus cuenta experiencia manejo salesforce crm venta jugador equipo mentalidad ningun demasiado grande ningun demasiado pequenho capaz establecer fomentar relación level penetrar mercado generar iniciativo penetracion cuenta persona altamente organizado orientado detalle actitud resolucion problema posees fuerte etica espiritu emprendedor capacidad desempenhar multiples función operar forma independiente genuino interes educacion transformacion social imprescindible beneficio crehana preocupar bienestar equipo nivel personal profesional programa beneficios atender diverso necesidad crehaners querer mas invitamos revisarlos link ademas seras plataformas entrenamiento proyeccion crecimiento latinoamerica espanha mas millón estudiante mundo mas empresa confian crehana wayra startup peru emerge education endeavor global equal employment opportunity statement crehana aceptar diferencias celebrar apoyar promover diversidad importante cultura enorgullecer igualdad oportunidades persona importar religion color nacionalidad origen genero orientacion sexual identidad genero expresion genero edad persona tipo discapacidad objetivo equipo diverso represente buscar construir futuro latinoamerica incluyente empoderado educado decisión tranquilidad familia tomado decision seguir trabajar forma remoto preocupacion numero equipo persona convivir mantener salvo coyuntura
6,descripcion funcion principal cargo digitalizar informacion recibido operaciones procesado requisito estudio negocios internacional experiencia areas similar nivel ingles intermedio ciudad medellin horario lunes viernes contrato termino indefinido
7,descripcion empresa sgs lider mundial ispeccion verificacion analisis certificacion considerado principal referente mundial calidad interidad contar mas empleado red mas oficina laboratorios mundo descripcion ingreso muestra registrarlas plataformas asignado asegurar informacion suministrado cliente introducir oportunamente sistema garantizar supervision control actividad recepcion muestras asegurar recibo programacion muestra ingresar operaciones alistamiento materiales laboratorio preparacion medio pesaje analisis laboratorio supervision autorizacion escrito lavar material laboratorio control reactivos materiales laboratorio mantener orden limpieza laboratorio cumplir normas seguridad laboratorio ordenar archivar documento asegurar informacion oportuno supervisor laboratorio jefe laboratorio producto conforme asegurar participacion activo auditorio interno externas programado asegurar participacion activo deteccion acción correctivo preventivo plan mejora velar recursos necesario desempenhar tarea incluido implementacion mantenimiento mejora sistema gestion asignado inherente cargo requisito formacion academica bachiller academico experiencia mes cargar descargue labores operativo informacion adicional salario tipo contrato obra labor horario lunes sabados
8,start trazado objetivo revolucionar educacion america latino equipo mas persona colombia mexico peru argentino chile trabajar objetivo suenho profesional empezar operaciones fecha levantado mas millón dolares capital riesgo rondas inversion acompanhan inversionistas global regional acumen capital mountain nacer salesforce ventures rethink education buscar escalar oferta curso desarrollar producto consolidar marca mexico colombia expandirnos geografias asi crehana crecer pasos agigantado objetivo lideres industria dias posicionarnos plataforma lider educacion region entras tallar buscar account executive bogota equipo ayudar cumplir objetivo propuesto mision account executive sera responsable buscar desarrollar cartera clientes potencial colombia asi nivel latam excepto peru mexico sumaras reto crear experiencia aprendizaje medida fomentar aprendizaje continuo organización puedan enfrentarse reto industria cambiante miles trabajo reformulan tecnologia buscar reto profesional poner prueba conocimientos capacidad dias este posicion account executive rol seran superar cuota mensual trimestral anual venta asignado participar ciclo venta generacion prospeccion cliente potencial gestion pipeline cierre incorporacion cliente cultivar mantener relación comerciales mediano mano sales development executives customer success executives garantizar colocacion seguimiento exitoso cliente alinear recursos productos operaciones marketing sostener negocio utilizar tacticas venta innovador creativo presentar solución comerciales crehana empresa clientes potencial recordar rol fluido frecuencia evolucionar funcion prioridad estrategia corporativo demanda mercado preferencia graduado universidad anhos minimo posees excelente habilidad comunicacion escrito verbal presentacion ingles imprescindible anhos experiencia venta minimo cuenta experiencia venta solución comerciales imprescindible experiencia generacion estrategia adquisicion venta imprescindible posees experiencia desarrollo negocio plus cuenta experiencia manejo salesforce crm venta jugador equipo mentalidad ningun demasiado grande ningun demasiado pequenho capaz establecer fomentar relación level penetrar mercado generar iniciativo penetracion cuenta persona altamente organizado orientado detalle actitud resolucion problema posees fuerte etica espiritu emprendedor capacidad desempenhar multiples función operar forma independiente genuino interes educacion transformacion social imprescindible beneficio crehana preocupar bienestar equipo nivel personal profesional programa beneficios atender diverso necesidad crehaners querer mas invitamos revisarlos link ademas seras plataformas entrenamiento proyeccion crecimiento latinoamerica espanha mas millón estudiante mundo mas empresa confian crehana wayra startup peru emerge education endeavor global equal employment opportunity statement crehana aceptar diferencias celebrar apoyar promover diversidad importante cultura enorgullecer igualdad oportunidades persona importar religion color nacionalidad origen genero orientacion sexual identidad genero expresion genero edad persona tipo discapacidad objetivo equipo diverso represente buscar construir futuro latinoamerica incluyente empoderado educado decisión tranquilidad familia tomado decision seguir trabajar forma remoto preocupacion numero equipo persona convivir mantener salvo coyuntura
9,contratar empleado contratamos futuro emprendedor razon viajar experiencia memorable asegurar asi apoyandonos innovacion tecnologica equipo humano comprometido experiencia viajeros amar ofrecer servicio asistencia medica viaje nivel internacional innovador adaptados forma moverse mundo buscar hombre mujer anhos profesional mercadeo publicidad marketing digital comercio internacional carrera afín postgrado areas marketing digital direccion deseable anhos experiencia planner digital liderar equipo creativo preferencia companhias vender internet habilidad persona conocimientos avanzado plataformas seguimiento control campanhas digital tal google analytics google ads facebook ads seo sem capacidad analisis metricas kpi campanhas ejecutar tomar decisión criterio comercial estrategico corto mediano plazo conocimientos funnles venta estrategia conversion automatizacion marketing inbound marketing oto capacidad liderazgo equipo creativo seguimiento rendimiento kpi conocimientos identidad marca branding posicionamiento asi creacion sostenimiento comunidad red social organizad objetivo empatic proactiv propositiv amante tecnologias viajes innovacion responsabilidad retos liderar equipo creativo marca lider mercado seguros viaje latinoamerica tendras equipo cracks voz equipo comercial equipo creativo participar forma activo estrategia comerciales presentar resultado gestion directamente junto directiva holding elaborar plan marketing trimestral semestral anual marca idear estrategia adaptadas modelo negocio digital establecer okr semestral anual area alineado objetivo empresarial participar mesa creativo comite innovacion producto idear estrategia directamente ceo holding companhias proponer ejecutar proyecto innovacion mejorar experiencia usuarios clientes compensacion propuesto ingreso fijo cop dependra perfil ingreso variable cop cumplimiento kpi encantar resultado contrato indefinido oportunidad carrera companhia movilidad internacional disponibilidad viajar remoto presencialidad situaciones proyecto especial incorporacion equipo desarrollo innovador cultura organizacional agil joven disruptivo tipo startup incorporacion plan estudio continuo medio alianza enterprise platzi com participacion premiaciones corporativo resultado viajes premio intangible horario importante seran resultado cargo
