job,sector,description
devops senior engineer,nan,position overview  we are looking for senior devops to join our rapidly growing development team  the applicant will have mix of deep technical skills together with excellent client facing consulting and communication skills  you will be responsible for delivering high quality solutions  this position is for an individual who is pro active  ambitious and eager to succeed and become part of rapidly growing company  who you are  you like building modern and reliable production systems  years of experience taught you that anyone could write code  but writing code that others understand is an art you value  youre curious  you know that making mistakes is how one gains experience  you like to challenge and be challenger  opened to change and enjoy exploring uncharterer territories  you get things donar  you focus on things that matter and like to see tangible progress  you are team player  you know its not only about what you do but lot about with whom and how you do it  you ll work in english with the clients development team  we work remotely these days  but at least one day week at the office is the target  requirements  years of experience in software development  years of experience delivering solutions with c  and sql  year of experience working in azure environments  experience in developing and deploying microservices in azure is must  methodical  rigorous  you will work on many projects  and will require certain sense of rigor to be organizer  attention to detail  team player – but able to work alone  excellent communication skills  both oral and written  english mandatory  university degree in computer science  information systems  or other technology related field  nice to have  practical knowledge in any other javascript libraries is plus  microsoft azure certifications  what we offer  competitive salary based on experience  flexible working  work remotely  at least one day week at the office is the target  exciting and challenging projects with international clients  certifications  training and mentoring  huge amount of learning  entrepreneurial environment
asesor comercial experiencia belleza,marketing publicidad  servicios tecnologia informacion  recursos humano,importante empresa solicitar asesor comercial experiencia belleza  experiencia venta sector retail horarios  domingo domingo turno rotativo  dia compensatorio semana  salario minimo legal vigente  auxilio transporte  prestacion ley  disponibilidad viajar  disponibilidad cambio residencia 
ejecutivo ventas  writing,articulo consumo,position  ejecutivo ventas  canal moderno  business unit  writing  location  medellin  reports to  sales manager   ejecutivo ventas  cargo  canal moderno  grande superficie supermercado independiente  region medellin antioquia  hacendar relacion comercial principal cliente  identificar oportunidad desarrollar ejecucion plan comercial garantizar crecimiento termino sell in  sell out  distribucion rentabilidad  responsibilities  definicion  ejecucion seguimiento plan comercial regional  desarrollar cliente canal moderno lograr objetivo asignado  identificacion oportunidad zona  cliente canal moderno  permitir crecimiento acelerado canal  desarrollo ejecucion plan comercial cliente garantizar crecimiento terminos sell in  distribucion rentabilidad  realizacion periodica cliente revision plan negocio  identificacion oportunidad  realizacion evaluacion plan accion lograr objetivo propuesto  sell out  distribucion  elaborar ejecutar conjunto trade marketing  plan zona cliente  garantizar crecimiento participacion mercado  crecer sell out  mantener inventario sano cliente  garantizar correcto distribucion rentabilidad marca  hacendar seguimiento diario  semanal sell out cliente  cumplimiento objetivo ingreso pedido venta  r ealizar planeacion mensual  semanal diario ingreso pedido  s negociacion cliente canal  ejecucion punto venta  c oordinar hacendar seguimiento fuerza venta externo garantizar foto exito punto venta  rentabilidad  desarrollar plan accion permitir mejorar mix venta skus margen  b uscar eficiencia gasto costo operacional cliente asignado m ejorar negociacion terminos descuento rebates cliente  disminuir  gross to net rebatir  controlar correcto ejecucion presupuesto inversion cargo correcto implementacion actividad comerciales trade marketing  garantizar recaudo cartera cliente plazo establecido politica companhia  requirements  formacion universitaria  deseable especializacion  anho experiencia area comercial companhias consumo masivo canal moderno medell in  deseable experiencia trade marketing  marketing  deseable ingles intermedio  newell brands  nasdaq  nwl  is leading global consumer goods company with strong portfolio of well known brands  including paper mate  sharpie  dymo  expo  parker  elmers  coleman  marmot  oster  sunbeam  foodsaver  mr  coffee  graco  baby jogger  nuk  calphalon  rubbermaid  contigo  first alert  and yankee candle  for hundreds of millions of consumers  newell brands makes life better every day  where they live  learn  work and play
desarrollador android,nan,buscar profesional ingenieria sistema  ingenieria electronica  ingenieria software carrera afin  experiencia desarrollo aplicacion movil nativo android lenguaje kotlin  funcion sera desarrollo  avance  optimizacion mantenimiento aplicacion napoleon chat plataforma android integracion servicio back end  conocimientos android studio  mvvm  git  jetpack  interesado enviar hoja vida correo rrhh napoleonsystems com
analista estrategia planeacion rutas,aeronautica  aviacion,encontrar busqueda analista estrategia planeacion rutas  funcion principal  evaluar planificar rentabilidad rutas  medio analisis competencia  proyeccion ingreso evaluacion costo  generar business cases solidos permitir tomar decision tactico estrategico alineado vision mision companhia  requisitos  profesional ingenieria industrial  comercial  informatica  civil  electrica   profesional economia  finanzas  administracion empresas  ingles  indispensable  excel  intermedio  avanzado  experiencia  anho minimo experiencia laboral  ganas aprender crecer companhia  ¡ invitar cultura  viva respetar individualidad  ¡ persona unico  ¡ compartenos perfil  danos oportunidad conocerte
mid  senior react developer,nan,our client is fast growing cloud business operating in competitive  emerging global market with offices in san francisco and london  theyre working hard to become the leading online platform for live streaming and video on demand and theyre currently looking to hire  react developer  as full time remote employee  required  years of experience with react and javascript in general  years working with html  css  conversational written and spoken english  level  helpful  been exposed or having knowledge in ios  android react native  experience with  dynamodb  lambda  and serverless in general  compensation  benefits  compensation is  usd  remote
web developer,servicios tecnologia informacion,about astound commerce  astound commerce is global ecommerce agency headquartered in the us  with over  professionals in  countries  we are one of the worlds largest teams of ecommerce experts  top brands like adidas  puma  versace  jimmy choo  tommy hilfiger  hugo boss and crocs are among our clients  company centers in eastern europe are focused on the development of ecommerce solutions on salesforce commerce cloud  demandware  hybris  ibm websphere commerce  intershop  kibo  magento  netsuite  job purpose  the web developer will be part of high performance feature driven development team responsible for building enterprise level ecommerce platform solutions  entry level of proficiency  junior  middle or senior web developer  will be determiner on the interview  what youll be doing  work in web development team to develop enterprise level ecommerce solutions by using server side ecmascript based language and common client side js  actively participate in daily project team meetings and brainstorming activities related to the project issues  provide updates to effort estimates and status of assigned tasks  collaborate with frontend development and qa teams  provide recommendations to team lead to improve development procedures  systems and tools  what were looking for  at least  years of experience with any server side language  node js is preferred  excellent knowledge of native javascript and oop  knowledge of js build engines like gulp or webpack  jquery  angularjs  extjs or any other popular js frameworks or libraries  understanding of json  csv  xml files formats  experience in integrations with other systems through rest or soap  experience with any vcs  git is preferred  design patterns knowledge and experience  good written and spoken english  used day to day in professional environment  good to have  software architecture design using object oriented and modularity principles  design patterns knowledge and experience  jquery  angularjs  extjs or any other popular js frameworks or libraries  knowledge of js build engines like gulp or grunt  team player  whats in it for you  knowledgebase of the worlds largest ecommerce delivery team  trainings and certifications  constant inflow of ecommerce projects with global outreach  coaching and reviews to support your career development  internal  external engineering and business trainings and conferences and time for self education  extensive technical library with option to order books and english classes  your work life at astound commerce  well set sdlc process with of agile  scrum  waterfall depending on project  network style culture with geographically distributed teams  easy communications and access to clients  possible international on site visits  work life balance approach and healthy lifestyle programs
full stack wordpress developer,internet  software  servicios tecnologia informacion,adk group   company  is boston based technology consultancy that built digital products like websites  web applications  and mobile applications for leading local startups like firefly health and wasabi technologies and global institutions like mass general brigham  santander bank  and brown forman  we are part of  global experience driven transformation consultancy  we are headquartered in boston  massachusetts with offices in louisville  kentucky and medellin  colombia  our culture is one that embraces adventure and philanthropy  with focus on teamwork  we are looking for mid level developer with at least three years of full stack wordpress development experience to join our team in medellin  this position will focus primarily on developing web solutions in wordpress  strong candidates will have deep hands on experience creating custom plugins and themes and demonstrable experience in executing the full software development life cycle – from concept to completion  additional requirements include proficiency in javascript  html  and css  as well as strong debugging skills  experience in fast paced  team based environment is crucial  as successful employees are constantly collaborating with colleagues to bridge the gap between functional requirements and technical implementation  must have skills  at least  years of experience developing web solutions in wordpress and php implementations in lamp environment  strong familiarity with wordpress hooks  filters  custom post types  and taxonomies  experience using advanced custom fields plugin  proficient in javascript  and  ability to execute the full software life cycle development process  from architecture and development to debugging and maintenance  this is crucial  conversational written and spoken english skills  qualifications  comfort using programming languages and relational databases  strong debugging and troubleshooting skills  years of development experience  compensation  benefits  and perks  competitive market salary  comprehensive medical coverage  professional development opportunities  company sponsored english classes  monthly transportation allowance  significant internal growth opportunities  were growing quickly
analista qa,servicios tecnologia informacion,evertec companhia publico sede san juan  puerto rico cotizar bolsa york  enorgullecer companhia lider mas  anho experiencia industria tecnologia transaccion electronico  operar segmento principal  adquisicion comerciante  procesamiento pago solucion negocio  ademas  duenho operador red debito mas grande caribe  ath  contar presencia  pais latinoamerica oficina  pais traves region  evertec contar plantilla mas  colaborador formar generacion naranja  objetivos  asegurarse producto final funcione  evitar cantidad fallo software salgar produccion cumplir expectativa cliente usuario dirigir  apoyar conocimiento proceso desarrolladores incidente puedan previstos corregido  funciones  diseñar  implementar documentar estrategia control calidad proyecto  b  definir caso prueba base requisito funcional  funcional tecnicos  j  documentar caso alternos flujo testear  test integracion  definir prueba integracion realizaran  eti  generar dato lote prueba  ejecutar caso prueba  documentacion prueba  evidencia  v  registrar incidente base defecto encontrado  asi tambien seguimiento asegurar adecuado correccion  d  analizar reportar resultado prueba  estadisticas  etc   participar etapa concepcion sistema elaboracion estrategia prueba  l  mantener base incidente proyecto generar conocimiento incremental usado desarrolladores  educacion experiencia  ingeniero sistema afin mas  anho experiencia metodologia modelo calidad  conocimiento scrum  cmmi  istqb  rango salarial   evertec group  llc patrono igualdad oportunidades
senior account executive  bogota  colombia,marketing publicidad  servicios tecnologia informacion  internet,start up trazar objetivo revolucionar educacion america latina  equipo mas  persona colombia  mexico peru  objetivo  suenho profesional  empezar operaciones  fecha levantar mas  millon dolar capital riesgo  rondas inversion  acompanhar inversionistas global regional  acumen capital  mountain nazca  salesforce ventures  rethink education  buscar escalar oferta curso  desarrollar producto  consolidar marca mexico colombia  expandirnos geografia  asi crehana crecer pasos agigantado  objetivo lider industria dia  querer posicionarnos plataforma lider educacion region  entras tallar  buscar  senior  account  executive bogota  equipo ayudar cumplir objetivo proponer  mision  senior  account  executive  sera responsable buscar desarrollar cartera cliente potencial colombia  asi nivel latam  excepto peru mexico  sumar reto crear experiencia aprendizaje medida fomentar aprendizaje continuo organizacion puedan enfrentarse reto industria cambiante miles reformulan tecnologia  buscar reto profesional prueba conocimientos capacidad dia  ¡ posicion  senior account executive  roles seran  superar cuota mensual  trimestral anual venta asignado  participar ciclo venta  generacion prospeccion cliente potencial  gestion pipeline  cierre incorporacion cliente  cultivar mantener relacion comerciales mediano grande  mano sales development executives customer success executives garantizar colocacion seguimiento exitoso cliente  alinear recursos producto  operaciones marketing sostener negocio  utilizar tactico venta innovador creativo  presentar solucion comerciales crehana empresas cliente potencial  recordar rol fluido  frecuencia  evolucionar funcion prioridad estrategia corporativo demanda mercado   preferencia  graduado universidad  anho minimo  posees excelente habilidad comunicacion escrito  verbal presentacion ingles  imprescindible   anho experiencia venta pequenho  experiencia venta solucion comerciales  imprescindible  experiencia generacion estrategia adquisicion venta  imprescindible  posees experiencia desarrollo negocio  plus  experiencia manejo salesforce  crm venta  jugador  equipo mentalidad  ningun demasiado grande  ningun demasiado pequenho  capaz establecer fomentar relacion c level  penetrar mercado generar iniciativo penetracion  persona altamente organizado  orientado detalle actitud resolucion problema  posees fuerte etica espiritu emprendedor  capacidad desempenhar multiple funcion operar forma independiente  genuino interes educacion transformacion social  imprescindible  beneficios  crehana preocupar bienestar equipo  nivel personal  profesional   programa beneficio atender diverso necesidad  as crehaners  querer mas  invitar revisarlos link  ademas  plataforma entrenamiento proyeccion crecimiento latinoamerica espanha  mas  millon estudiante mundo mas  empresa confiar crehana  wayra  startup peru  emerge education endeavor global  equal employment opportunity statement  crehana  aceptar diferencias  celebrar  apoyar promover diversidad importante cultura  enorgullecer igualdad oportunidad persona importar religion  color  nacionalidad  origen  genero  orientacion sexual  identidad genero  expresion genero  edad persona tipo discapacidad  objetivo equipo diverso represente buscar construir futuro  latinoamerica incluyente  empoderado educado  decision  tranquilidad familia  tomar decision seguir forma remoto  preocupacion numero equipo  persona convivir  mantener salvo coyuntura
