Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Operativo;prodiccion;2;1
Operativo;parrilleros;1;1
Operativo;ingmecanico;1;1
Operativo;documentacion;6;1
Servicio al cliente;weekends;2;2
Ventas - Comercial - Administración;weekends;1;2
Educación;castellano;3;1
Operativo;llamados;1;1
Operativo;infantiles;1;1
Servicio al cliente;you;2;1
Operativo;selladoras;1;1
Diseño;planos;9;4
Compras;planos;1;4
Operativo;planos;8;4
Talento TI;planos;1;4
Operativo;tortas;1;1
Ventas - Comercial - Administración;ejecutvo;1;1
Servicio al cliente;sutherland;1;1
Ventas - Comercial - Administración;constructora;1;2
Ingenierias;constructora;1;2
Ventas - Comercial - Administración;relojeria;2;1
Operativo;oxiacetileno;3;1
Operativo;tarifas;2;1
Talento TI;formacion;1;13
Practicantes - Aprendices;formacion;3;13
Contaduria;formacion;2;13
Educación;formacion;2;13
Marketing;formacion;1;13
Psicologia;formacion;2;13
Operativo;formacion;4;13
Servicio al cliente;formacion;7;13
Ventas - Comercial - Administración;formacion;3;13
Gestión de Calidad;formacion;11;13
Diseño;formacion;1;13
Salud;formacion;1;13
Financiero;formacion;4;13
Operativo;impulsaroda;1;1
Talento TI;foundation;1;1
Servicio al cliente;leader;6;3
Ventas - Comercial - Administración;leader;1;3
Contaduria;leader;1;3
Talento TI;genesys;1;1
Construcción;verticales;1;1
Servicio al cliente;barranquilla;19;10
Contaduria;barranquilla;1;10
Gestión de Calidad;barranquilla;1;10
Marketing;barranquilla;2;10
Salud;barranquilla;3;10
Operativo;barranquilla;30;10
Educación;barranquilla;9;10
Ventas - Comercial - Administración;barranquilla;44;10
Gastronomia;barranquilla;4;10
Practicantes - Aprendices;barranquilla;2;10
Talento TI;nube;8;1
Talento TI;net;132;1
Operativo;auxmantenimiento;2;1
Psicologia;t;1;4
Ventas - Comercial - Administración;t;6;4
Operativo;t;2;4
Servicio al cliente;t;5;4
Financiero;asesores;6;6
Marketing;asesores;1;6
Ventas - Comercial - Administración;asesores;723;6
